Response Time,Availability,Throughput,Successability,Reliability,Compliance,Best Practices,Latency,Documentation,Service Name,Service Classification
220.8,90,14.6,97,58,100,75,8.4,35,SmsGatewayService,Silver
224.8,98,14.6,100,58,100,75,9.2,42,SmsGatewayService,Silver
233.4,91,1.4,97,58,100,75,7.2,32,TGL_x0020_Web_x0020_Services_x0020_v1.0,Gold
222,92,1.6,97,58,100,75,9,33,TGL_x0020_Web_x0020_Services_x0020_v1.0,Silver
214,93,1.3,98,58,100,75,8.6,41,PCtoLongLat,Silver
241.2,99,0.9,100,58,100,75,7.8,40,PCtoLongLat,Gold
252.4,95,1.8,98,58,100,75,7.6,34,MessageServerService,Gold
347.2,85,1.9,95,58,100,75,8.8,32,MessageServerService,Gold
227,92,0.9,97,58,100,75,8,34,CooccurrencesService,Gold
266.8,92,2,97,58,100,75,8,42,CooccurrencesService,Gold
206.4,86,15.5,95,58,100,75,5.6,33,DimeInterop,Silver
313.6,92,11.7,97,58,100,75,9,39,DimeInterop,Gold
184.4,94,2,98,73,100,84,7.6,34,AWSAlexa,Silver
402,92,10.7,97,58,100,75,10,34,codeService,Platinum
188.8,99,1,100,73,100,84,6.8,41,WSDLInteropTestListService,Silver
208.8,94,1.9,98,73,100,84,6.6,40,WSDLInteropTestListService,Silver
230.8,88,1.6,96,73,100,84,8.2,34,Labs,Gold
191.2,96,1.5,99,73,100,84,7.6,36,ExperimentWebService,Silver
237.8,97,1.2,99,73,100,84,10.4,35,ExperimentWebService,Gold
281.8,93,1.3,98,73,100,84,7.2,41,ContactClean,Gold
297.8,91,0.9,97,73,100,84,6.4,40,ContactClean,Gold
242.4,89,1.1,96,73,100,84,7.6,34,PhoneNumberEnhancement,Gold
236.6,94,2.3,98,73,100,84,4.6,36,PhoneNumberEnhancement,Gold
200.2,92,1,97,73,78,84,8.2,32,BankFinder,Silver
201.6,91,1.5,97,73,100,84,7.8,36,symgateEngine,Silver
208.6,88,1.2,96,73,100,84,8.6,36,symgateEngine,Silver
206.2,87,3.7,96,73,100,84,6.2,34,trimseqService,Silver
242,87,2.8,95,73,100,84,6.2,39,trimseqService,Gold
240.6,86,1.2,95,73,100,84,11,37,FlightHistoryService,Gold
383.2,98,2.1,100,73,100,84,6.2,39,States_x0020__x0026__x0020_Provinces,Platinum
382.6,87,3.5,95,73,100,84,4.8,41,States_x0020__x0026__x0020_Provinces,Platinum
275.8,85,12.1,95,73,100,84,8.8,40,sbml,Gold
273.6,88,13,96,73,100,84,7.4,32,POCP SOAP Interface,Gold
324.8,86,12.4,95,73,100,84,9.6,41,POCP SOAP Interface,Gold
294.6,94,13,98,73,100,84,8.4,32,InsumaFocus,Gold
495,97,9.2,99,73,100,84,10,32,InsumaFocus,Platinum
219.2,94,1.1,98,73,100,84,8.4,40,Lists,Silver
396.6,87,1.3,95,73,100,84,3.4,38,PropertyInformation,Platinum
219,94,1.2,98,73,100,84,6.8,42,pinger,Silver
220.6,93,2.4,98,73,100,84,6,35,pinger,Silver
198,97,1,99,73,100,84,8,31,Conversor,Silver
201.4,87,0.7,95,73,100,84,8,33,Conversor,Silver
195,89,0.8,96,73,100,84,6.4,42,OD_CB,Silver
197.4,99,1.1,100,73,100,84,9.8,33,OD_CB,Silver
515.2,86,9.2,95,73,100,84,8.8,37,reasoner,Platinum
278,94,12.5,98,73,100,84,8.6,35,reasoner,Gold
463.6,91,2,91,73,100,84,98.4,41,BusinessVerification,Platinum
436.6,90,1.3,91,73,100,84,90.2,37,BusinessVerification,Platinum
208.6,88,14.2,96,73,100,84,7.6,31,XigniteFunds,Silver
223.4,100,13.7,100,73,100,84,9.2,33,XigniteFunds,Silver
215.6,91,15.9,97,73,100,84,5.4,37,eSynapsMonitor,Silver
231.8,94,15.3,98,73,100,84,5.8,32,eSynapsMonitor,Gold
229.6,88,11.9,96,73,100,84,10,37,XigniteHistorical,Gold
447.4,86,9.4,95,73,100,84,12.6,39,XigniteHistorical,Platinum
198.8,100,1.4,100,73,100,84,6.8,32,primersearchService,Silver
218.8,89,1.4,96,73,100,84,9.2,36,primersearchService,Silver
199.4,99,2.2,100,73,100,84,7.6,38,SubscriptionService,Silver
223.2,89,2.2,96,73,100,84,6.2,38,SubscriptionService,Silver
214,85,1.4,95,73,100,84,10.8,38,NetToolsService,Silver
209.6,92,16.2,97,73,100,84,5.8,35,EconometricStats,Silver
325.6,86,12,95,73,100,84,10.6,37,EconometricStats,Gold
305.4,93,12.2,98,73,100,84,7.8,42,GenericXsltCallback,Gold
229.4,98,13.9,100,73,100,84,10.4,39,GenericXsltCallback,Gold
223.6,100,0.7,100,73,100,84,6,37,BusinessVerification,Silver
205.4,100,0.7,100,73,100,84,5.2,41,BusinessVerification,Silver
257.4,89,13.9,96,73,100,84,11.6,32,PCSDealers,Gold
223.6,95,14.6,99,73,100,84,9.4,31,PCSDealers,Silver
293.8,93,12.9,98,73,100,84,8,38,zCalcSvc,Gold
292.2,90,12.3,97,73,100,84,12.4,39,zCalcSvc,Gold
191,100,1.4,100,73,100,84,8.4,33,PathwayService,Silver
215.6,87,1.6,95,73,100,84,10.8,32,PathwayService,Silver
317,93,12.1,98,73,100,84,10.6,36,WSEmbossService,Gold
298.2,85,12.5,95,73,100,84,8,38,WSEmbossService,Gold
291,99,1.1,100,58,100,75,9.8,39,CupScores,Gold
289.6,94,1.1,98,58,100,75,6.8,36,CupScores,Gold
197,95,0.8,98,58,100,75,6,35,SaisieFrance2ServiceBeanService,Silver
251.4,87,1.5,95,58,100,75,7.4,34,SaisieFrance2ServiceBeanService,Gold
302.4,91,12.5,97,73,100,84,8.4,39,DOTSPhoneAppend,Gold
221.2,92,14.2,97,73,100,84,9.2,38,DOTSPhoneAppend,Silver
504.6,100,1.9,100,73,100,84,3,40,wobbleService,Platinum
324,88,0.9,96,73,100,84,7,35,FullerData_x0020_High_x0020_Score_x0020_Service,Gold
206.4,94,2.4,98,58,100,75,7.6,42,DataSetService,Silver
257.8,85,1,95,58,100,75,5.8,31,DataSetService,Gold
230.6,97,14.2,99,73,100,84,9.6,37,Context,Gold
333.4,97,12.1,99,73,100,84,11.2,39,Context,Gold
228.6,100,14.1,100,73,100,84,9.8,36,Medicare,Gold
229,98,13.9,99,73,100,84,7.6,40,Medicare,Gold
222,97,14.7,99,73,100,84,8.6,41,yankService,Silver
221,99,14.8,100,73,100,84,8,39,yankService,Silver
211,86,14.3,95,73,100,84,8.6,41,SvnAdmin,Silver
232.2,85,1.8,95,73,78,84,5.8,34,ArticleArchive,Gold
261,100,12.8,100,73,100,84,8.6,37,OcrService,Gold
229.4,99,13.7,100,73,100,84,8.6,40,OcrService,Gold
201.2,97,1.2,99,73,100,84,8.4,32,NominaliaWS,Silver
204.4,92,1.9,97,73,100,84,6.2,40,NominaliaWS,Silver
281.6,95,13.9,99,73,100,84,7,35,WebBlogService,Gold
315,91,12.7,97,73,100,84,10.6,34,WebBlogService,Gold
309.2,96,12.6,99,73,100,84,10.6,39,Servicio_medio_ambiente,Gold
213.4,98,4,99,73,100,84,6,38,GetSubjectElement,Silver
225.2,93,2.2,98,73,100,84,6.2,31,GetSubjectElement,Silver
207.8,86,1.6,95,58,100,75,9.2,35,EchoService,Silver
257.2,87,1.7,95,58,100,75,8.4,33,EchoService,Gold
227.2,86,2.4,95,73,100,84,6.8,39,Source_x0020_Code_x0020_Community_x0020_WebService,Gold
217.4,87,15.1,96,73,100,84,7.2,41,CEqImageSecure,Silver
336,88,12,96,73,100,84,11.6,41,CEqImageSecure,Gold
609.4,91,1.1,91,73,100,84,26,35,TCrossPlatformSoapService,Platinum
546.4,91,1.1,91,73,100,84,25.6,34,TCrossPlatformSoapService,Platinum
218.4,92,1.7,97,73,100,84,6.8,42,Content,Silver
210.5,72,8.3,72,80,100,78,6.5,96,ServiceBilling,Silver
191.11,87,9.6,95,67,78,77,30.85,89,SchemaWeb,Silver
306.2,95,9.8,99,73,78,80,21.2,90,ExperimentWebService,Gold
1030.67,63,6,64,73,89,75,4,58,USGeocoding,Platinum
1614.67,63,3.7,64,73,89,75,5,57,USGeocoding,Platinum
148.5,98,11.4,99,73,89,62,1,5,ITempConverterservice,Silver
117,83,23.3,84,67,89,82,4,5,CompanyInfoService,Bronze
69.33,91,1.7,97,80,78,87,2,66,IDutchservice,Bronze
174.5,99,2.5,100,80,78,87,1,96,eZentrum-Webservices,Silver
83.33,98,2.1,100,80,78,87,1.33,66,IDutchservice,Bronze
117.5,89,3.2,96,73,78,84,0.5,89,LeftNeighboursService,Bronze
216.54,87,9.9,95,67,78,82,33.69,86,LDAPService,Silver
199.17,56,7.3,56,67,78,77,55.5,6,LookingForStrategyServices,Silver
302.33,53,6,54,67,89,72,12.03,12,plotconService,Gold
260,83,15.5,84,73,89,84,10,11,BNQuoteService,Gold
162.8,51,4.3,51,58,78,75,6.8,93,SyndicationServiceExperimental,Silver
113,92,28.4,97,80,89,87,6,8,Distance,Bronze
316.28,86,7.2,95,33,78,62,25.52,5,Gtop,Gold
1036.2,87,3.8,95,33,78,59,11.48,8,Gtop,Platinum
634.4,92,2.8,97,80,100,87,41.2,34,vrnaevalService,Platinum
247.38,28,5.9,29,42,78,74,6,9,RetHeaderService,Gold
206,98,2.1,100,67,89,82,10.25,59,GBNIRHolidayService,Silver
124,92,7.6,97,73,78,84,9.33,6,newcpgseekService,Bronze
117,85,24.5,95,73,100,80,30,11,LanguagesService,Bronze
748,100,17.3,100,80,89,65,29,4,Order,Platinum
123.67,87,8.9,95,73,78,84,8.67,2,newcpgseekService,Bronze
166,83,28.1,84,83,89,91,6,62,Weather,Silver
64.96,18,4.3,18,60,78,79,5.15,1,vectorstripService,Bronze
57.32,54,10.4,54,67,89,82,1.76,40,CaribbeanT,Bronze
113.2,51,5.5,51,73,78,84,4,56,DOTSGeoPhone,Bronze
399.75,56,5,57,67,89,72,85.75,36,ITranslateSvc,Platinum
207,86,13.5,86,73,89,84,78.5,5,MSN,Silver
174.77,56,2.6,58,67,78,82,37.92,58,XigniteChart,Silver
144.88,57,7.7,58,67,78,82,13.19,61,CasService,Silver
100.33,87,18.6,95,73,100,80,0.66,93,ElementRefinementsService,Bronze
116,87,18.6,96,60,89,69,7.56,12,epestfindService,Bronze
654.41,87,3.7,95,53,89,50,2.2,16,SIAP,Platinum
169,83,18.9,84,80,78,87,4,11,WSWUBlastService,Silver
146,90,6.7,97,73,78,84,12.67,2,newcpgseekService,Silver
139.5,95,3.2,98,73,78,80,27.5,35,XigniteArchive,Bronze
156,86,23.3,95,80,100,87,2,95,HelloService,Silver
322.33,99,9,100,73,89,62,18.66,8,TGL_x0020_Web_x0020_Services_x0020_v1.0,Gold
171,83,18.6,84,80,78,87,5,5,WSWUBlastService,Silver
257.45,13,4.3,13,60,78,74,108.52,40,AmazonHistoricalPricing,Gold
434.67,69,0.6,69,73,100,80,1.67,87,DOTSAddressPlus,Platinum
173,67,0.5,68,73,100,80,1.67,92,DOTSAddressPlus,Silver
189,83,22.2,84,73,100,84,7,8,MyAmazonPlus,Silver
147,83,13.2,84,80,100,83,2,3,RandomPlayer,Silver
168,26,7.7,26,53,100,66,16,33,MedicareData,Silver
170.25,56,4.2,57,60,100,79,8.5,36,RouteCalSrv2Service,Silver
179.5,72,4.1,73,60,100,74,7.5,33,cweather,Silver
478.5,99,8.4,100,42,89,62,7,33,DatabindingPatterns,Platinum
357.33,97,0.9,99,73,100,80,1.66,37,CRMTeeTimeAPI,Platinum
513.5,27,3.8,28,33,89,59,30,29,SympaSOAP,Platinum
542.87,26,4.4,26,53,100,66,32.94,32,MedicareData,Platinum
105.5,86,17.9,86,73,89,80,3.5,11,CualEsMiIP,Bronze
3007.25,79,2.3,79,73,67,84,105.75,4,ErrorReporter,Platinum
117.58,66,4.2,66,73,89,80,2.5,9,MedicareData,Bronze
147.75,78,13.7,78,73,89,84,2.25,9,BNPriceWS,Silver
128.75,70,6.6,70,73,89,84,5.37,7,SwissCities,Bronze
141,100,9.5,100,73,78,84,9,6,newcpgseekService,Bronze
130.67,100,6.9,100,73,78,84,10,12,newcpgseekService,Bronze
115,97,6.9,99,73,78,84,8,10,newcpgseekService,Bronze
262.37,34,5.9,35,67,89,72,35.48,9,FrequencyUnit,Gold
43,47,3.6,47,80,100,83,5.17,95,StockQuotes,Bronze
397.5,74,2.4,74,60,89,79,0.33,2,DOTSFastTax,Platinum
120,99,7.4,100,73,78,84,10.33,8,newcpgseekService,Bronze
2252,83,1.3,84,73,89,75,981,38,maskseqService,Platinum
243,63,8.3,63,73,89,75,13.33,35,GoogleSearchService,Gold
205,83,21.2,84,83,89,91,4,36,CarCalculatorServiceService,Silver
189.57,43,3,44,73,89,75,6,1,BGTBoundaryGeocoder,Silver
471.5,56,3.2,57,73,89,62,5.75,32,GeoPointService,Platinum
423,63,5.4,63,73,89,62,16.67,41,TWSFissionDotNet,Platinum
411.12,39,6.2,39,73,100,84,24.87,38,SerClsPeticionSOAPTPVPCservice,Platinum
374.67,63,6.3,63,73,89,62,15.67,91,ICD9,Platinum
79.35,96,19.1,99,67,89,58,24.59,87,rshare,Bronze
73.5,87,23.8,95,73,89,62,18.75,95,ClusterfastaService,Bronze
104.5,85,15.6,95,73,89,62,46.5,92,RightNeighboursService,Bronze
452.75,88,4.5,96,67,100,72,142.25,88,tfscanService,Platinum
180.59,95,11.8,98,67,78,82,35.71,64,CasService,Silver
300.12,90,7.9,97,67,78,82,14.88,63,CasService,Gold
169,83,21.9,84,83,89,91,37,6,needleService,Silver
106.77,12,13,12,60,89,69,8.92,92,CPP_SCORE_REQUEST,Bronze
181.7,34,3.5,34,73,78,84,41.7,57,XWebLead,Silver
253,100,10.6,100,67,100,72,18,63,dConverterSOAP,Gold
240.5,72,8.6,72,78,89,89,117,10,Departements,Gold
266,97,10.3,99,73,100,84,51,93,UserManagement,Gold
74,32,2.3,33,80,78,78,2.42,62,sixpackService,Bronze
83.33,39,1.7,40,80,78,78,1,63,GBNIRHolidayService,Bronze
80.67,38,2.3,38,80,89,78,3.67,62,GBNIRHolidayService,Bronze
119,72,10.6,72,80,89,83,15,67,BlastDemo,Bronze
175,92,4.3,97,73,78,84,13,2,ABRXMLSearch,Silver
122,90,3.9,97,73,78,80,1,94,InteropTestHeaders,Bronze
356.67,66,3,66,80,89,83,59.5,7,WarrantyClaimWebService,Platinum
434.83,66,3,66,80,89,83,62.58,3,WarrantyClaimWebService,Platinum
353.75,66,3.5,66,80,89,83,67.25,3,WarrantyClaimWebService,Platinum
353.17,66,2.3,66,80,89,83,42.84,2,WarrantyClaimWebService,Platinum
369.83,66,2.9,67,80,89,83,76.5,11,WarrantyClaimWebService,Platinum
348.33,66,4.4,66,80,89,83,72.33,3,WarrantyClaimWebService,Gold
355,66,2.7,67,80,89,83,68.75,9,WarrantyClaimWebService,Platinum
372.25,66,4.7,66,80,89,83,77.83,8,WarrantyClaimWebService,Platinum
349.58,66,2.3,66,80,89,83,36.58,7,WarrantyClaimWebService,Platinum
398.17,66,2.8,66,80,89,83,70.75,5,WarrantyClaimWebService,Platinum
373.08,66,2.3,67,80,89,83,50,1,WarrantyClaimWebService,Platinum
464,67,2.2,67,80,89,83,38.42,8,WarrantyClaimWebService,Platinum
338,66,4.5,66,80,89,83,65.08,4,WarrantyClaimWebService,Gold
411.83,66,2.7,66,80,89,83,78.5,2,WarrantyClaimWebService,Platinum
111.08,86,13.6,86,53,89,66,13.32,25,XFService,Bronze
1558.07,97,2.6,98,67,89,58,13.14,93,DOTSValidateCanada,Platinum
1760.48,97,2.4,98,67,89,58,18.76,90,DOTSValidateCanada,Platinum
1734.34,97,2.5,98,67,89,58,14.65,91,DOTSValidateCanada,Platinum
489.2,67,5.1,68,73,78,80,117.2,90,WSCitationImplService,Platinum
2141.67,88,3.7,96,73,100,84,1815.34,2,XYToPixelsService,Platinum
46.05,89,20.7,96,67,100,77,4.48,8,Tiscali_x0020_Messenger_x0020_Services,Bronze
60.18,93,13.1,98,67,100,77,8.93,9,Tiscali_x0020_Messenger_x0020_Services,Bronze
234.83,73,3.5,74,73,78,88,115.5,3,World_x0020_Time_x0020_Service,Gold
1832.67,89,3.3,96,67,100,77,4,10,AllegroWebApiService,Platinum
4103.32,83,0.8,83,67,89,72,10.12,11,fpennyService,Platinum
65.07,88,16.7,96,67,100,77,1.28,3,CupScores,Bronze
289.75,39,2.7,39,78,78,91,28.5,8,GetPeopleSearch,Gold
356,84,4.7,84,73,89,75,72,2,bibiwsImplementationService,Platinum
162,98,13,100,73,89,75,1,3,RCAWS,Silver
221.11,43,0.7,43,73,89,75,2.55,10,Systamex,Silver
235.17,56,1.5,58,73,89,75,33.17,12,Systamex,Gold
100.14,92,3.2,97,80,100,87,7.71,10,ServiceOverviewService,Bronze
138.5,86,21.4,86,73,89,84,2,94,SerClsPeticionSOAPTPVPCservice,Bronze
312.97,93,6,98,67,78,58,25.7,35,EmailValidation,Gold
208.5,100,11.3,100,80,89,65,50.5,35,LoggingService,Silver
204,86,7.1,86,73,67,88,3,1,ExampleService,Silver
122,86,14.5,86,67,78,82,3,4,Photoserver,Bronze
159.29,41,6.6,41,60,78,69,44.61,66,StockServices,Silver
158.9,61,3.5,61,67,78,72,41,8,XigniteRates,Silver
115,96,28,99,73,100,84,1,8,chipsService,Bronze
113,83,22.3,84,83,89,91,4,9,IOHandler,Bronze
114,83,24.1,84,73,89,84,4,7,profitService,Bronze
133.67,96,8.7,99,73,78,80,0.67,11,forward,Bronze
107,85,33.3,95,80,100,87,1,4,Presidential Election Results 2004,Bronze
109,96,15.1,99,60,89,79,1,2,merchant-interface-mime,Bronze
235.25,94,8.1,98,73,78,80,93.5,7,CommandService,Gold
112,85,32.4,95,73,78,84,1,2,EmailAddressValidator,Bronze
211.25,89,10.9,89,67,78,72,152.75,9,FuelPricingServices,Silver
113.09,53,8.4,53,60,89,74,7.18,60,States_x0020__x0026__x0020_Provinces,Bronze
117.67,94,3,95,78,33,89,7.84,4,XigniteExchanges,Bronze
126.2,90,7.2,91,73,78,84,9.8,6,XigniteRates,Bronze
447.2,90,4.2,91,73,78,84,16.2,2,XigniteRates,Platinum
136.4,90,5.9,91,73,78,84,10.8,10,XigniteRates,Bronze
115,87,24.5,95,67,89,82,1,11,Photoserver,Bronze
118.64,80,1.7,81,53,67,76,6.43,11,XigniteExchanges,Bronze
237.75,98,2.3,100,72,33,86,9.33,9,XigniteExchanges,Gold
131.36,90,2.3,97,60,67,79,4,10,XigniteExchanges,Bronze
130.33,94,4.5,95,78,33,89,3.5,11,XigniteExchanges,Bronze
131.57,80,2.3,80,53,67,76,6.5,10,XigniteExchanges,Bronze
246,95,15.8,98,67,100,83,28.5,3,MarketData,Gold
125,91,32.3,97,58,89,80,6,9,chipsService,Bronze
120,85,34.4,95,83,89,91,1,12,IOHandler,Bronze
109.5,91,24.9,97,83,89,91,2,9,ServiceRequest,Bronze
134.83,99,2.4,100,58,67,75,25.16,7,Northwind,Bronze
136.17,89,8.4,96,73,56,75,11.17,7,Northwind,Bronze
144.83,91,4,92,67,78,66,6.5,4,Northwind,Silver
486.4,81,2.2,81,60,67,79,4,6,XigniteExchanges,Platinum
164.8,90,5.1,91,73,78,84,30.4,8,XigniteRates,Silver
169.4,90,6.4,91,73,78,84,28.2,5,XigniteRates,Silver
170,87,7.2,95,73,78,80,29.6,3,XigniteRates,Silver
158.8,87,5.8,96,73,78,80,30.8,6,XigniteRates,Silver
120,87,24.2,95,67,89,82,2,7,Photoserver,Bronze
119,61,2.9,62,53,67,71,5,6,XigniteExchanges,Bronze
135.27,81,1.5,81,60,67,79,2.87,11,XigniteExchanges,Bronze
130.2,62,1.9,62,53,67,71,5.53,7,XigniteExchanges,Bronze
121,87,22.6,95,67,100,83,9,4,MarketData,Bronze
111,87,27.4,95,58,89,80,2,11,chipsService,Bronze
107,91,36.9,97,83,89,91,3,12,IOHandler,Bronze
114.25,92,8.2,97,80,89,83,2.5,7,CommandService,Bronze
134,97,29.9,99,73,78,84,10,6,EmailAddressValidator,Bronze
129,89,10.7,89,73,78,84,7.75,3,FuelPricingServices,Bronze
164,100,7.3,100,73,100,84,48.25,11,DiscoveryService,Silver
221,87,25.9,95,73,100,84,1,8,helixturnhelixService,Silver
177.5,94,14.6,98,67,89,58,25.8,32,RightNeighboursService,Silver
249.08,12,8.7,12,53,78,71,7.23,64,tbapi,Gold
310.25,22,2.8,22,42,78,74,194.3,5,TemperatureService,Gold
451,23,1.8,24,42,78,74,334.1,7,TemperatureService,Platinum
238,87,3.8,96,80,89,65,1.17,64,Servicio_etiquetado,Gold
303,84,3.2,84,67,78,77,3,87,GeoCode_Service,Gold
150.4,20,6.5,21,60,89,69,6.8,5,PdsSoap,Silver
119,92,14,97,73,78,80,42.25,89,Tax,Bronze
106.75,90,16.2,96,73,78,80,24.13,93,protein_2d_structure__hmomentService,Bronze
111.33,95,11,99,67,78,77,31.8,96,XigniteGE,Bronze
227,97,15.7,99,80,100,87,3,2,fpromlkService,Gold
275,72,11.8,72,83,89,91,9,11,fpromlkService,Gold
215.2,56,1,57,60,78,79,9.2,11,CurrencyConvertor,Silver
1936.33,76,2.3,76,73,78,88,1627.33,4,LanguagesService,Platinum
1674,55,0.8,56,67,78,85,1005.4,9,noreturnService,Platinum
541,100,21.6,100,83,89,91,16,60,sigscanService,Platinum
404.5,99,3.4,100,73,89,62,37,2,ETP,Platinum
166.67,75,1.2,75,67,78,77,7.84,38,BGTBoundaryGeocoder,Silver
2204.38,66,0.7,66,73,78,84,2050.13,36,SendSmsService,Platinum
366,88,8.3,88,73,100,84,52,11,Zip2Geo,Platinum
677,83,12.1,84,73,100,84,503,9,WHOIS,Platinum
350.33,91,7.5,91,73,78,80,51.83,1,OddFactWebService,Platinum
392.5,91,6.3,97,73,78,84,89.75,1,VasService,Platinum
79,83,32,84,78,89,89,3,67,_Get,Bronze
210.79,89,11.5,96,67,100,77,5.61,10,XWeb1003Port,Silver
84.25,90,16.3,97,67,78,72,42,35,ZELService,Bronze
317,72,18.4,72,78,89,89,120,7,News,Gold
632,72,13.1,72,78,89,89,122.5,3,dotpathService,Platinum
581,83,15.6,84,50,89,66,116,2,dotpathService,Platinum
324.5,72,14.6,72,78,89,89,124.5,1,K4THotelAvailWS,Gold
390,72,16.2,72,78,89,89,119,11,WQS,Platinum
786.5,67,4.8,67,50,89,66,133,7,DataManager,Platinum
837,72,6.8,72,67,89,72,135.5,1,ciselniky,Platinum
234.5,89,23.7,96,78,89,89,106,9,WhiteYork_x0020_Hosting_x0020_Usage_x0020_Service,Gold
358,95,27,98,50,89,66,119,6,MainService,Platinum
227,83,23.9,84,50,89,66,111,6,MainService,Gold
319.38,12,3.6,13,67,78,72,31.07,34,ReviewRequestManager,Gold
327.13,13,5.1,13,67,78,72,24.98,37,ReviewRequestManager,Gold
161.69,87,12.4,95,60,100,74,14.77,94,LogServices,Silver
111,98,0.8,100,67,100,77,27,93,WSDBFetchServerLegacyService,Bronze
352,98,21.5,100,58,89,75,1,7,ContactServiceNoHeader,Platinum
685.86,22,3.2,22,33,89,59,22.14,3,VSOiService,Platinum
664,83,13.6,84,83,89,91,53,7,needleService,Platinum
407,85,19.1,95,58,89,75,32,11,ContactServiceNoHeader,Platinum
435.33,21,4.2,22,33,89,59,10.77,8,VSOiService,Platinum
408,83,15.2,84,83,89,91,3,6,needleService,Platinum
536.25,56,7.1,56,83,89,91,3,2,seqretsplitService,Platinum
2967.75,56,2.4,58,83,89,91,4.25,3,skipseqService,Platinum
155.75,90,13.8,97,73,78,84,15.25,89,BSXMLAddressSearch,Silver
195.54,28,5.8,29,60,78,62,48.62,86,devCadastro,Silver
162.14,93,13.1,98,73,78,80,23.28,94,XMethodsQuery,Silver
158.25,93,13.9,98,73,78,84,19.87,95,e2gImplementationService,Silver
164,94,13.6,98,73,78,80,22.29,91,XMethodsQuery,Silver
259,56,4.1,57,67,78,72,12.75,11,GSXWS,Gold
315,83,15.2,84,83,89,91,36,38,BookInfoService,Gold
490.5,89,4.1,96,73,100,80,4.5,9,GenreTermsAndSubjectHeadings,Platinum
143.65,19,4.1,19,60,78,79,9.69,6,vectorstripService,Silver
108,83,26.2,84,83,89,91,7,63,AirportDataService,Bronze
387,83,22.6,84,83,89,91,1,4,XigniteChart,Platinum
303,83,26.9,84,83,89,91,1,2,XigniteChart,Gold
305,83,26.9,84,83,89,91,1,12,XigniteChart,Gold
486.5,99,5.5,100,80,89,65,60,62,ExternalCAP,Platinum
67,86,41,95,73,100,84,5,3,TraceFinder3BPService,Bronze
1074.3,14,3.1,14,60,78,69,4.72,9,GBNIRHolidayService,Platinum
174.67,85,11.1,95,58,89,80,1,3,IACHSOAPservice,Silver
158.1,61,8.6,62,73,89,84,10.7,89,showorfService,Silver
372.7,91,4.4,97,73,78,87,2.1,64,GBSCTHolidayService,Platinum
374.6,51,4.3,51,73,78,84,24.2,6,OA_CB,Platinum
106.75,86,1.3,95,80,78,87,1.25,96,DOTSTimeZoneAppend,Bronze
214.8,91,15.4,97,73,89,62,11,2,Query,Silver
131.71,65,2.1,65,73,89,80,1.35,91,ccydemo,Bronze
230.91,99,10.7,100,67,100,82,20.32,88,MESAClaimsService,Gold
385.5,56,2.4,57,50,78,77,70.5,10,StateInfoSrv,Platinum
150,56,11,56,83,89,91,0.5,92,serviceName,Silver
179.29,87,2.6,95,60,89,69,26,40,ProductActivation,Silver
112.77,91,14.9,97,60,100,74,22.08,39,XWeb1003Port,Bronze
126.4,89,18.9,96,73,78,84,1.2,36,DatosArt,Bronze
287.07,94,8.3,98,67,89,58,11.36,5,splitterService,Gold
315.85,90,9.9,97,72,89,86,1.65,4,Exchanges,Gold
129.33,95,15.9,98,73,100,84,1,32,interop2B,Bronze
253,86,7.2,86,73,78,80,108.5,8,fdollopService,Gold
203.5,86,16.2,95,58,100,69,0.5,59,MovieInformation,Silver
122,98,5.7,100,73,78,84,2,5,DGV_SCADA,Bronze
180,95,14.6,99,73,100,84,23.5,88,K4TAirFaresWS,Silver
219,56,10.4,56,60,78,69,67,40,Roll_x0020_Generator_x0020_Web_x0020_Service.,Silver
151.85,12,6.5,12,53,78,66,3.85,41,XWebLead,Silver
140.67,63,4.2,64,60,78,62,3,2,Award,Bronze
451,64,2.3,64,60,100,79,287.33,31,DOTSTimeZoneAppend,Platinum
197.07,26,5.2,26,53,100,66,27.27,29,MedicareData,Silver
857,83,6.4,84,73,100,87,3,8,UniversalThread,Platinum
750,83,7.4,84,73,100,87,3,5,prophecyService,Platinum
782,84,1.5,85,73,78,87,3,10,ISOcodesSOAP,Platinum
145.25,56,11.8,56,78,78,89,4.75,7,IKtoPruefservice,Silver
429.81,26,2.6,26,78,78,89,236.93,7,Admin,Platinum
154,71,14.4,72,73,89,80,5.5,5,patmatdbService,Silver
192.67,63,10.5,63,42,100,69,4.67,6,Interop,Silver
188.31,100,11.8,100,67,100,77,6.23,6,ProFoxWS,Silver
182,83,20.4,84,83,89,91,6,5,ValidateService,Silver
236,83,17.2,84,89,78,93,7,8,Compound2,Gold
181.57,99,3.5,100,67,78,84,40,8,IngesterServiceService,Silver
111.2,91,17.6,97,50,78,77,14.4,35,Roll_x0020_Generator_x0020_Web_x0020_Service.,Bronze
124.67,85,16.6,95,73,78,88,48.34,2,Servicio_C_de_Calidad,Bronze
139.2,40,5.5,40,60,78,54,18.38,4,news,Bronze
2262.33,63,2.9,63,73,89,75,5.66,58,USGeocoding,Platinum
503,16,5,16,67,89,72,43.71,93,WarrantyClaimWebService,Platinum
400.57,16,4.3,16,67,89,72,94.86,87,GForgeAPI,Platinum
160.67,73,7.5,74,73,89,84,6,4,AircraftData,Silver
38,71,21.1,72,73,78,84,2,2,RouteCalSrv2Service,Bronze
